family,variable,domain,citation,doi,year,population,sample_size_raw,sample_size_n,direction,direction_sign,effect_size_raw,effect_value,effect_type,p_value_raw,p_value_num,p_op,p_source,parsed_effect,parsed_p
apen_sampen,Sample Entropy (SampEn) and Entropy Rate,meditation,"Mayer MJE, Garnier NB, Becker C, Antonelli MC, Lobmaier SM, Frasch MG (2025). 'Heart Rate Variability Patterns Reflect Yoga Intervention in Chronically Stressed Pregnant Women: A Quasi-Randomized Controlled Trial.' Bioengineering (Basel) 12(11):1141.",10.3390/bioengineering12111141,2025,Chronically stressed pregnant women; weekly Hatha Yoga vs standard obstetric care,"N=28 (14 yoga, 14 control)",28,"up (both SampEn and Entropy Rate higher in yoga group at first and last visits, unadjusted)",1,Cohen's d 1.19-2.36 across timepoints (large); effect-size r 0.51-0.76,1.19,d,"SampEn p=0.011 (first-visit onset), p=0.006 (first-visit end); Entropy Rate p=0.004 (onset), p<0.001 (end); delta Entropy Rate p=0.034 - BUT after mixed-effects covariate adjustment, effects were no longer significant (SampEn p=0.537; Entropy Rate p=0.401)",0.011,=,pfield,True,True
apen_sampen,Sample Entropy and DFA alpha1 (nonlinear HRV),meditation,"Gao Y, Zitron L, Guo S (2026). 'Mindfulness-based intervention alters nonlinear heart rate variability in a pilot study.' Discover Mental Health 6:105.",10.1007/s44192-026-00444-1,2026,First-year college students; 6-week mindfulness-based intervention vs active control,N=25,25,"down (per secondary/search-result summary: MBI group showed lower nonlinear HRV in response to acute stressors post-intervention, interpreted as improved/more adaptive regulation rather than pathological rigidity)",-1,not extracted (full text behind a login wall; only abstract-level summary obtained via secondary source),,,not extracted (full text inaccessible),,,,False,False
csi_cvi,"CSI (L/T), CVI (log10(L*T))",clinical,"Toichi M, Sugiura T, Murai T, Sengoku A. A new method of assessing cardiac autonomic function and its comparison with spectral analysis and coefficient of variation of R-R interval. J Auton Nerv Syst. 1997;62(1-2):79-84.",10.1016/S0165-1838(96)00112-9,1997,"10 healthy volunteers, pharmacological autonomic blockade (atropine, propranolol) vs. control condition",n=10,10,"CVI selectively reduced by atropine (vagal blockade); CSI reduced by combined/propranolol condition — the two indices dissociate under selective pharmacological blockade, validating them as separable sympathetic/vagal proxies",-1,not reported as standardized effect size in available abstract/summary; reported as index dissociation under blockade,,,not extracted,,,,False,False
csi_cvi,CVI (parasympathetic index),clinical,"Toichi M, Kubota Y, Murai T, Kamio Y, Sakihama M, Toyoda J, Yoshikawa H, Kikuchi M, Yoshida H, Ozaki N. The influence of psychotic states on the autonomic nervous system in schizophrenia. Int J Psychophysiol. 1999;31(2):147-54.",10.1016/S0167-8760(98)00047-6,1999,"Chronic schizophrenia inpatients, assessed at start and end of an 8-week period alongside psychotic-symptom severity",n=53,53,down (CVI decreases as psychotic-state severity increases),-1,not extracted in raw form,,,reported significant (exact value not extracted from available summary),,,,False,False
csi_cvi,"CSI (30/50/100-beat windows), modified CSI (100-beat window)",clinical,"Jeppesen J, Beniczky S, Johansen P, Sidenius P, Fuglsang-Frederiksen A. Using Lorenz plot and Cardiac Sympathetic Index of heart rate variability for detecting seizures for patients with epilepsy. Annu Int Conf IEEE Eng Med Biol Soc. 2014:4563-6.",10.1109/EMBC.2014.6944639,2014,Patients with temporal-lobe complex partial seizures under video-EEG monitoring,"5 patients, 11 EEG-confirmed seizures",11,up (CSI and mCSI peak higher during seizures than during exercise/non-seizure periods in 4 of 5 patients),1,121-296% higher peak CSI/mCSI during seizure vs. exercise/non-seizure baseline,-296.0,pct,"not reported (preliminary/pilot study, no statistical test reported)",,,,True,False
csi_cvi,"maximum CSI, minimum CVI (100-beat moving windows)",clinical,"Jeppesen J, Beniczky S, Johansen P, Sidenius P, Fuglsang-Frederiksen A. Comparing maximum autonomic activity of psychogenic non-epileptic seizures and epileptic seizures using heart rate variability. Seizure. 2016;37:13-9.",10.1016/j.seizure.2016.02.005,2016,Video-EEG-monitored patients with epileptic seizures vs. psychogenic non-epileptic seizures (PNES),49 epileptic seizures from 17 patients; 24 PNES from 7 patients,49,up for CSI in true epileptic seizures relative to PNES; CVI showed no directional difference,1,not reported as standardized effect size (group medians/means not extracted),,,"P=0.015 for max CSI (epileptic > PNES); non-significant for min CVI, min RMSSD, and HF power",0.015,=,pfield,False,True
csi_cvi,CVI (cardiac vagal index),sports,"Araujo CG, Bottino A, Pinto FG. Cardiac vagal index varies according to field position in male elite football players. MedicalExpress. 2018;5:mo.006.",10.5935/MedicalExpress.2018.mo.006,2018,"Male elite football (soccer) players (Brazilian and Angolan first-division clubs) by field position, plus age-matched non-athlete controls","242 elite players (wingers n=34, midfielders n=87, forwards n=60, defenders n=44, goalkeepers n=17) + 303 non-athlete controls",242,up in wingers vs. defenders (positional effect); no significant difference athletes-overall vs. non-athlete controls,1,Wingers median CVI 1.84 [1.60-1.99] vs. defenders 1.53 [1.41-1.72]; overall athlete group 1.63 [1.46-1.84] vs. non-athletes 1.61 [1.41-1.81]; CVI vs. VO2max r=0.15; CVI vs. resting HR r=0.38; CVI vs. maximal HR r=-0.01,0.38,HR,P=0.01 for winger-vs-defender CVI difference; P=0.22 for athletes-vs-non-athletes (not significant); P=0.02 for CVI-VO2max correlation; P<0.05 for CVI-resting-HR correlation; P=0.82 for CVI-max-HR correlation (not significant),0.01,=,pfield,True,True
csi_cvi,"CSI, CVI (robust, time-resolved re-derivation of the Toichi Poincare-ellipse indices)",sports,"Candia-Rivera D, et al. Robust and time-resolved estimation of cardiac sympathetic and parasympathetic indices. R Soc Open Sci. 2025;12(1):240750.",10.1098/rsos.240750,2025,Methodological/validation paper; illustrative postural-change (sit-to-stand) and general exercise-context examples rather than an athlete cohort study,not an athlete-cohort effect study,,"up in CSI upon standing/exercise onset (expected sympathetic activation), consistent with prior literature",1,not reported as an athlete population effect size,,,not applicable,,,,False,False
csi_cvi,IDXPNA (vagal-tone proxy) and IDXSNA (sympathetic-tone proxy) — related to but explicitly NOT the Toichi CSI/CVI formula,meditation,"Park C, Youn I, Han S. Single-lead ECG based autonomic nervous system assessment for meditation monitoring. Sci Rep. 2022;12:22421.",10.1038/s41598-022-27121-x,2022,Novice meditators (meditation dataset) plus a separate stress-dataset (WESAD) comparison cohort,"16 subjects (meditation cohort: 8 male, 8 female, age 28.5+/-4.2y); 15 subjects (WESAD cohort, age 27.5+/-2.4y)",16,IDXPNA up (parasympathetic activation) and IDXSNA down (sympathetic inhibition) during meditation,0,not reported as standardized effect size in available summary,,,p<0.000005 for both IDXPNA increase and IDXSNA decrease during meditation,5e-06,<,pfield,False,True
csi_cvi,2D/3D Poincare-plot HRV parameters (SD1/SD2-family); explicit CSI/CVI values not confirmed,meditation,"Dey A, Bhattacharyya DK, Tibarewala DN, Dey N, Ashour AS, Le DN, Gospodinova E, Gospodinov M. Chinese-chi and Kundalini yoga Meditations Effects on the Autonomic Nervous System: Comparative Study. Int J Interact Multimed Artif Intell. 2016;3(6):39-43.",10.9781/ijimai.2016.3713,2016,Practitioners of Chinese Chi-meditation vs. Kundalini yoga meditation,not extracted (full text not accessible in this pass; publisher returned 403),403,not extracted — abstract-level search indicates Poincare-plot shape changes under both meditation types but no confirmed CSI/CVI-labelled numeric direction,0,not extracted,,,not extracted,,,,False,False
sdnn_global,sdnn,clinical,"Kleiger RE, Miller JP, Bigger JT, Moss AJ (1987). Decreased heart rate variability and its association with increased mortality after acute myocardial infarction. Am J Cardiol, 59(4):256-262.",,1987,"808 AMI survivors, 24-h Holter ~11±3 days post-MI",808,808,down (low SDNN -> higher mortality),-1,5.3x higher mortality rate for SDNN<50ms vs SDNN>100ms,,,not reported in abstract summary; seminal/foundational study,,,,False,False
sdnn_global,sdnn,clinical,"Hillebrand S, Gast KB, de Mutsert R, et al. (2013). Europace, 15(5):742-749.",10.1093/europace/eus341,2013,"General population, no known CVD at baseline; 8 pooled cohorts",21988,21988,down (low SDNN -> higher first CV event risk),-1,"Pooled RR 1.35 (95% CI 1.10-1.67), lowest vs highest SDNN tertile; ~1% risk increase per 1% SDNN decrease; 10th-vs-50th-percentile RR 1.50 (95% CI 1.22-1.83)",1.35,RR,meta-regression dose-response slope p=0.011,0.011,=,pfield,True,True
sdnn_global,sdnn,clinical,"Rueda-Ochoa OL, Osorio-Romero LF, Sanchez-Mendez LD (2024). J Electrocardiol, 84:42-48.",10.1016/j.jelectrocard.2024.03.006,2024,"Post-acute-MI cohorts, 27 pooled observational studies",27 studies (individual N not aggregated in abstract),27,down (low SDNN -> higher cardiac mortality),-1,"RR 4.19 (95% CI 3.36-5.22), I2=39.7% — best single predictor of cardiac mortality; SDANN also significant for total mortality",4.19,RR,not stated numerically; CI excludes 1,,,,True,False
sdnn_global,sdnn,clinical,"Yadav I, Waqas R, Mohammad A, et al. (2025). Cureus, 17(12):e99120.",10.7759/cureus.99120,2025,"Heart failure (mixed HFrEF/HFpEF), 10 pooled studies",10544,10544,down (low SDNN -> higher mortality),-1,"Time-domain (SDNN) pooled ES=1.75, I2=71.49%; HFrEF subgroup ES=1.74 (95% CI 1.04-2.44); overall pooled ES=1.99 (95% CI 1.36-2.61)",1.75,SMD,p<0.001 overall,0.001,<,pfield,True,True
sdnn_global,"sdnn, sdann",clinical,"Liu H, Wang X, Wang X (2023). The correlation between heart rate variability index and vulnerability prognosis in patients with acute decompensated heart failure. PeerJ, 11:e16377.",10.7717/peerj.16377,2023,"128 ADHF patients (31 poor-prognosis, 97 good-prognosis), 12-month follow-up",128,128,"up (higher SDNN/SDANN associated with poor prognosis) -- reversed vs. rest of literature, flagged as inconsistency",1,"SDNN: AUC=0.818 (95% CI 0.722-0.914), t=3.924; SDANN: AUC=0.684 (95% CI 0.551-0.816), t=4.520; combined-HRV diagnostic AUC=0.901",0.818,AUC,p<0.001 for both SDNN and SDANN,0.001,<,pfield,True,True
sdnn_global,cvnni,clinical,"Razanskaite-Virbickiene D, Danyte E, Mockeviciene G, et al. (2017). Can coefficient of variation of time-domain analysis be valuable for detecting cardiovascular autonomic neuropathy in young patients with type 1 diabetes: a case control study. BMC Cardiovasc Disord, 17:34.",10.1186/s12872-016-0467-0,2017,"208 T1DM patients aged 15-25y (67 with confirmed CAN, 141 controls), Lithuania",208,208,down (lower CV of R-R -> CAN presence),-1,"Deep-breathing CV<1.45: sensitivity 97.3%, specificity 96.2%, AUC=0.899; supine CV<1.65: AUC=0.890; standing CV<1.50: AUC=0.862",0.899,AUC,p<0.05 for all CV measures between CAN and non-CAN groups,0.05,<,pfield,True,True
sdnn_global,cvnni,clinical,"Sugimoto K, et al. (2024). Associations of age-adjusted coefficient of variation of R-R intervals with autonomic and peripheral nerve function in non-elderly persons with diabetes. J Diabetes Investig.",10.1111/jdi.14094,2024,"141 diabetic inpatients, 22-65y",141,141,down (lower CVRR associated with worse autonomic/peripheral nerve function),-1,not independently verified beyond search snippet (paywalled); reported as correlational associations,,,not independently confirmed,,,,False,False
sdnn_global,cvsd,sports,"Pichot V, Roche F, Gaspoz JM, et al. (2000). Relation between heart rate variability and training load in middle-distance runners. Med Sci Sports Exerc, 32(10):1729-1736.",10.1097/00005768-200010000-00011,2000,"7 male middle-distance runners, national level, France",7,,"down during heavy training, up during recovery week (parasympathetic indices)",-1,"Parasympathetic indices: up to -41% during 3wk heavy training, up to +46% during recovery week; sympathetic: +31% then -24%",-41.0,pct,p<0.05,0.05,<,pfield,True,True
sdnn_global,sdnn,sports,"Hynynen E, Uusitalo A, Konttinen N, Rusko H (2006). Heart rate variability during night sleep and after awakening in overtrained athletes. Med Sci Sports Exerc, 38(2):313-317.",,2006,"12 severely overtrained athletes (OA) vs 12 control athletes (CA), mixed sex",24 (12 vs 12),24,down (overtrained athletes lower SDNN after awakening),-1,SDNN after awakening: 84±31 ms (OA) vs 116±41 ms (CA),,,p<0.05,0.05,<,pfield,False,True
sdnn_global,sdnn,sports,"Proietti R, di Fronso S, Pereira LA, Bortoli L, Robazza C, Nakamura FY, Bertollo M (2017). Heart Rate Variability Discriminates Competitive Levels in Professional Soccer Players. J Strength Cond Res, 31(6):1719-1725.",10.1519/JSC.0000000000001795,2017,"54 male professional soccer players, 3 teams across Italy/Germany, 3 competitive tiers (2nd Division, Europa League, Champions League)",54,54,up (higher lnSDNN in higher-competitive-level players),1,Champions League and Europa League groups showed higher lnSDNN (and lnRMSSD) than 2nd Division group; exact numeric SMD not available from abstract,,,reported as statistically significant in abstract; exact value not confirmed,,,,False,False
sdnn_global,sdnn,meditation,Lee EJ (2017). Effects of a Mindfulness-Based Stress Reduction Program on the Physical and Psychological Status and Quality of Life in Patients with Metastatic Breast Cancer. Holist Nurs Pract.,10.1097/HNP.0000000000000220,2017,Metastatic breast cancer patients undergoing active treatment,32,32,up (SDNN increased pre-to-post MBSR),1,SDNN 24.81 -> 53.93 (as reported in Radmark et al. 2019 secondary summary),,,p=0.051 (approached but did not reach conventional significance),0.051,=,pfield,False,True
sdnn_global,sdnn,meditation,"Wang SJ, Chang YC, Hu WY, Chang YM, Lo C (2022). The Comparative Effect of Reduced Mindfulness-Based Stress on Heart Rate Variability among Patients with Breast Cancer. Int J Environ Res Public Health, 19(11):6537.",10.3390/ijerph19116537,2022,"Post-treatment breast cancer survivors (25 MBSR, 25 usual-care control)",50,50,up (SDNN increased in MBSR group),1,SDNN 31.49±15.26ms (pre) -> 85.81±43.93ms (post); d=0.85 (large),0.85,d,"t(24)=5.40, p<0.001",0.001,<,pfield,True,True
sdnn_global,sdnn,meditation,"Nyklicek I, Mommersteeg PM, Van Beugen S, Ramakers C, Van Boxtel GJ (2013). Mindfulness-based stress reduction and physiological activity during acute stress: a randomized controlled trial. Health Psychol, 32(10):1110-1113.",10.1037/a0032200,2013,Community-dwelling adults with elevated stress complaints (MBSR vs waitlist control),88,88,null (no significant effect),0,not significant,,,non-significant,,,,False,False
sdnn_global,"sdnn, cvnni",meditation,"Leonard A, Clement S, Kuo CD, Manto M (2019). Changes in Heart Rate Variability During Heartfulness Meditation: A Power Spectral Analysis Including the Residual Spectrum. Front Cardiovasc Med, 6:62.",10.3389/fcvm.2019.00062,2019,26 experienced Heartfulness meditators (13.1±7.4 years practice),26,26,down (SDRR and CVRR decreased during deep meditation vs rest),-1,SDRR 28.1ms (rest) -> 22.8ms (deep meditation),,,SDRR p=0.014; CVRR p=0.002,0.014,=,pfield,False,True
sdnn_global,sdnn,meditation,"Natarajan A (2023). Heart rate variability during mindful breathing meditation. Front Physiol, 13:1017350.",10.3389/fphys.2022.1017350,2023,"Small convenience samples: Chi meditation (n=8), Kundalini Yoga meditation (n=4), plus metronomic-breathing/sleep/athlete comparison groups",8 (Chi); 4 (Kundalini Yoga),,up (SDRR increased during meditation vs rest),1,"Chi: SDRR 56.8ms (rest) -> 66.9ms (meditation), +18%, d=0.5; Kundalini Yoga: 56.8ms -> 86.6ms, +53%, d=1.1",0.5,d,p<0.05 for both,0.05,<,pfield,True,True
dfa,DFA short-term scaling exponent alpha1,clinical,"Huikuri HV, Mäkikallio TH, Peng CK, Goldberger AL, Hintze U, Møller M. Fractal correlation properties of R-R interval dynamics and mortality in patients with depressed left ventricular function after an acute myocardial infarction. Circulation. 2000;101(1):47-53.",10.1161/01.cir.101.1.47,2000,"446 survivors of acute MI with LVEF <=35% (DIAMOND/Finnish-Danish cohort), 24-h Holter","446 (114 deaths, 25.6%; 75 arrhythmic deaths)",446,down (low alpha1 predicts higher arrhythmic/total mortality),-1,alpha1 < 0.75 independently predicted arrhythmic death; outperformed conventional time/frequency HRV indices in multivariable model,,,not specified in accessible abstract; reported as independent predictor in multivariable Cox model,,,,False,False
dfa,DFA short-term scaling exponent alpha,clinical,"Mäkikallio TH, Høiber S, Køber L, Torp-Pedersen C, Peng CK, Goldberger AL, Huikuri HV (TRACE Investigators). Fractal analysis of heart rate dynamics as a predictor of mortality in patients with depressed left ventricular function after acute myocardial infarction. Am J Cardiol. 1999;83(6):836-839.",10.1016/s0002-9149(98)01076-5,1999,Post-AMI patients with EF<35% (TRAndolapril Cardiac Evaluation substudy),"159 (72 deaths, 45%, over 4-year follow-up)",159,down (reduced alpha predicts higher mortality),-1,Relative risk 3.17 (95% CI 1.96-5.15) for alpha < 0.85,,,p<0.0001 univariable; p<0.001 multivariable Cox,0.0001,<,pfield,False,True
dfa,DFA short-term scaling exponent alpha (alpha1),clinical,"Mäkikallio TH, Huikuri HV, Hintze U, et al. Fractal analysis and time- and frequency-domain measures of heart rate variability as predictors of mortality in patients with heart failure. Am J Cardiol. 2001;87(2):178-182.",,2001,"Chronic heart failure patients, EF<35% (Danish cohort)",499 (665-day follow-up),499,down (reduced alpha predicts higher mortality),-1,Relative risk 1.4 (95% CI 1.0-1.9),,,"P<0.05, independent after adjusting for age, NYHA class, medication, EF",0.05,<,pfield,False,True
dfa,DFA short-term scaling exponent alpha1,clinical,"Tapanainen JM, Thomsen PE, Køber L, Torp-Pedersen C, Mäkikallio TH, Still AM, Lindgren KS, Huikuri HV. Prediction of sudden cardiac death by fractal analysis of heart rate variability in elderly subjects. J Am Coll Cardiol. 2001;37(5):1395-1402.",10.1016/S0735-1097(01)01171-8,2001,"Random population sample, age >=65, 10-year follow-up",325 (164 deaths; 71 cardiac deaths; 29 sudden cardiac deaths),325,down (reduced alpha1 predicts cardiac and especially sudden cardiac death),-1,Stronger univariate prediction for SCD than for cardiac death overall,,,not extracted (univariate significance reported),,,,False,False
dfa,"DFA alpha1 (alpha2 also measured, no significant effect)",clinical,"Chiang JY, Huang JW, Lin LY, et al. Detrended Fluctuation Analysis of Heart Rate Dynamics Is an Important Prognostic Factor in Patients with End-Stage Renal Disease Receiving Peritoneal Dialysis. PLoS One. 2016;11(2):e0147282.",10.1371/journal.pone.0147282,2016,"ESRD patients on peritoneal dialysis, mean age 53.7","132 (62M/72F), ~34-month median follow-up",132,down (lower alpha1 -> higher mortality); alpha1 0.89+/-0.20 in deceased vs 1.18+/-0.29 in survivors,-1,"HR 0.109 (95% CI 0.033-0.362) total mortality; HR 0.062 (95% CI 0.007-0.571) cardiac mortality, for alpha1>=0.95 (protective); ROC AUC 0.761 for alpha1<0.95 predicting mortality",0.109,HR,P<0.001 (group difference); P=0.0003 (total mortality HR); P=0.014 (cardiac mortality HR),0.001,<,pfield,True,True
dfa,"DFA alpha1 vs SDNN, deceleration capacity (DC), VLF power etc.",clinical,"Yuda E, Ueda N, Kisohara M, Hayano J, et al. Redundancy among risk predictors derived from heart rate variability and dynamics: ALLSTAR big data analysis. Ann Noninvasive Electrocardiol. 2021;26(1):e12790.",10.1111/anec.12790,2021,"265,291 24-hour ECG recordings, Japanese ALLSTAR database, mixed cardiac/at-risk/healthy, mean age 65",265291,265291,"n/a (redundancy/correlation finding, not a mortality-direction finding)",0,observed rate of alpha1-only high-risk clustering ~0.035x expected-under-independence rate; moderate positive correlation with SDNN/DC/VLF,,,,,,,False,False
dfa,DFA alpha1 threshold vs gas-exchange VT1,sports,"Rogers B, Giles D, Draper N, Hoos O, Gronwald T. A New Detection Method Defining the Aerobic Threshold for Endurance Exercise and Training Prescription Based on Fractal Correlation Properties of Heart Rate Variability. Front Physiol. 2020;11:596567.",10.3389/fphys.2020.596567,2020,"Male recreational-to-trained runners/cyclists, age 19-52 (mean 29+/-10)","15 (17 recruited, 2 excluded for cardiac ectopy)",15,concordant (alpha1=0.75 threshold tracks VT1),0,"r=0.99 (VO2, p<0.001), r=0.97 (HR, p<0.001); paired-t Cohen's d=0.030 (VO2) and 0.091 (HR); ICC 0.99/0.96",0.03,d,"p<0.001 (correlations); p=0.347 and p=0.191 (paired t-tests, non-significant bias)",0.001,<,pfield,True,True
dfa,DFA alpha1 field-estimated threshold,sports,"Rogers B, Berk S, Gronwald T. Real-Time Estimation of Aerobic Threshold and Exercise Intensity Distribution Using Fractal Correlation Properties of Heart Rate Variability: A Single-Case Field Application in a Former Olympic Triathlete. Front Sports Act Living. 2021;3:668812.",10.3389/fspor.2021.668812,2021,Single elite athlete (former Olympic triathlete),1 (single-case field study),,concordant with training-zone classification,0,"descriptive/case-study, no inferential statistics",,,,,,,False,False
dfa,DFA alpha1/alpha2-derived thresholds (alphaTh1/alphaTh2) vs lactate (LT1/LT2) and gas-exchange (VT1/VT2) thresholds,sports,"Sheoran S, Stavropoulos-Kalinoglou A, Simpson C, Ashby M, Webber E, Weaving D. Exercise intensity measurement using fractal analysis of heart rate variability: Reliability, agreement and influence of sex and cardiorespiratory fitness. J Sports Sci. 2024.",10.1080/02640414.2024.2421691,2024,"37 participants (17 female), mixed cardiorespiratory fitness",37,37,"mixed/qualified (good reliability, only moderate agreement with LT/VT; sex-dependent bias)",0,CV<6% test-retest; bias +2.41 bpm (males) vs -1.26 bpm (females) at first threshold,,,not extracted in full,,,,False,False
dfa,DFA alpha1 threshold vs physiologic thresholds,sports,"Cassirame J, et al. Detrended fluctuation analysis to determine physiologic thresholds, investigation and evidence from incremental cycling test. Eur J Appl Physiol. 2025;125:523-533.",,2025,Incremental cycling test participants,not extracted,,critical/discordant (disputes clear physiological basis of 0.75/0.5 cut-points),0,,,,,,,,False,False
dfa,"DFA alpha1 methodology (regression window selection, Kubios time-shift artifact)",sports,"Hoos O, Gronwald T. Detrended fluctuation analysis of heart rate variability during exercise: Time to reconsider the theoretical and methodological background. Comment on Cassirame et al. (2025). Eur J Appl Physiol. 2025;125(9):2637-2639.",10.1007/s00421-025-05859-2,2025,n/a (methodological comment/rebuttal),,,defends 0.75/0.5 theoretical grounding against Cassirame's critique,0,,,,,,,,False,False
dfa,"HR oscillation amplitude (spectral/Hilbert-transform based, not DFA per se)",meditation,"Peng CK, Mietus JE, Liu Y, Khalsa G, Douglas PS, Benson H, Goldberger AL. Exaggerated heart rate oscillations during two meditation techniques. Int J Cardiol. 1999;70(2):101-107.",10.1016/s0167-5273(99)00066-2,1999,"Healthy young adult meditators: 8 Chinese Chi (Qigong) practitioners, 4 Kundalini Yoga practitioners, plus non-meditating controls",8 Chi + 4 Kundalini yoga (n=12 meditators total),12,up (exaggerated low-frequency HR oscillation amplitude during meditation vs pre-meditation/controls),1,"descriptive amplitude comparison, no DFA alpha reported in this original paper",,,,,,,False,False
dfa,"Long-range correlation/scaling behavior (average wavelet coefficient method, DFA-adjacent)",meditation,"Papasimakis N, Pallikari F. Breakdown of Long-Range Correlations in Heart Rate Fluctuations During Meditation. arXiv:0901.4295 [physics.med-ph]. 2009.",10.48550/arXiv.0901.4295,2009,Same PhysioNet meditation dataset (8 Chi + 4 Kundalini yoga),12,12,down (weakened long-range correlation / loss of complexity at longer timescales during meditation),-1,descriptive scaling-behavior comparison; no numeric DFA alpha values reported in abstract,,,,,,,False,False
dfa,Multifractal DFA (MF-DFA) spectrum width; Power of Scale-freeness in Visibility Graph (PSVG),meditation,"Bhaduri A, Ghosh D. Quantitative Assessment of Heart Rate Dynamics during Meditation: An ECG Based Study with Multi-Fractality and Visibility Graph. Front Physiol. 2016;7:44.",10.3389/fphys.2016.00044,2016,"Same PhysioNet meditation dataset (8 Chi meditation, 4 Kundalini Yoga subjects)",8 (Chi) + 4 (Kundalini yoga),,up (multifractal spectrum width and PSVG both increase during meditation),1,MF-DFA width increase 32.2-175% (Chi); PSVG increase 46.9-265.1% (Kundalini yoga); correlation between the two methods r=0.64,0.64,r,not reported,,,,True,False
hurst,DFA short-term scaling exponent α1,clinical,"Mäkikallio TH, Huikuri HV, Mäkikallio A, et al. (2002). Prognostic significance of fractal and traditional heart rate variability measures in patients with acute myocardial infarction. Am J Cardiol 90(4):347-352. PMID:12161220.",10.1016/S0002-9149(02)02488-8 (approx; verify against publisher record),2002,"697 consecutive survivors of acute MI, 3 Nordic university hospitals","697 (49 deaths during 18.4±6.5 month follow-up, 7.0% mortality)",697,down (lower α1 predicts higher mortality),-1,"univariate RR 5.05 (95% CI 2.87-8.89) for α1<0.65; multivariate-adjusted RR 3.90 (95% CI 2.03-7.49), most powerful independent HRV predictor",5.05,RR,"significant, reported as strongest univariate/multivariate predictor",,,,True,False
hurst,"DFA α1 (short-term, <11 beats) and α2 (>11 beats)",clinical,"Tsuji, Mäkikallio, Huikuri (LILAC study group). Fractal analysis of heart rate variability and mortality in elderly community-dwelling people — Longitudinal Investigation for the Longevity and Aging in Hokkaido County (LILAC) study. (PMC2820556 / ScienceDirect S0753-3322(05)80009-5).",,~2005-2010 (exact primary-journal year not independently confirmed beyond PMC record),"Community-dwelling elderly, mean age 79.6 years",298,298,down (lower scaling exponents associated with mortality),-1,not fully extracted (full text paywalled); reported as retaining prognostic power alongside traditional time/frequency HRV in this elderly cohort,,,not extracted,,,,False,False
hurst,"DFA2 α1 (second-order-detrended short-scale scaling exponent), measured at rest",clinical,"Hernesniemi JA, et al. (2024). Prediction of Sudden Cardiac Death With Ultra-Short-Term Heart Rate Fluctuations. JACC Clin Electrophysiol. DOI:10.1016/j.jacep.2024.04.018. PMID:38878016.",10.1016/j.jacep.2024.04.018,2024,FINCAVAS (Finnish Cardiovascular Study) cohort undergoing clinical exercise testing,"2794 (83 sudden cardiac deaths over median 8.3-year follow-up, IQR 6.4-10.5)",2794,"down (lower α1 associated with higher SCD risk); resting measurement significant, exercise measurement not",-1,"2.4-fold risk increase (IQR 2.0-3.0) per 1-SD lower α1, independent of age, comorbidities, fitness, HR recovery, LVEF",,,P < 0.001,0.001,<,pfield,False,True
hurst,DFA short-term scaling exponent (αs),sports,"Heffernan KS, Sosnoff JJ, Fahs CA, Shinsako KK, Jae SY, Fernhall B (2008). Fractal scaling properties of heart rate dynamics following resistance exercise training. J Appl Physiol 105(1):109-113. DOI:10.1152/japplphysiol.00150.2008. PMID:18450986.",10.1152/japplphysiol.00150.2008,2008,"34 young adult men (mean age 23±1), 6 weeks resistance training, 3 days/week, after a 4-week control period","34 (18 lower-baseline-α subgroup, 16 higher-baseline-α subgroup)",34,bidirectional normalization toward ~1.0 (not monotonic up/down): low-baseline subgroup increased 0.73→0.88; high-baseline subgroup decreased 1.20→0.98,0,"no overall-cohort change (1.01→0.98→0.93, P>0.05); subgroup-by-time interaction significant",,,P < 0.05 (interaction effect); P > 0.05 for whole-cohort main effect,0.05,<,pfield,False,True
hurst,DFA α1-based heart-rate-variability threshold (HRVT),sports,"Rogers B, Berk S, Gronwald T (2022). An Index of Non-Linear HRV as a Proxy of the Aerobic Threshold Based on Blood Lactate Concentration in Elite Triathletes. Sports (Basel) 10(2):25. DOI:10.3390/sports10020025. PMC8875480.",10.3390/sports10020025,2022,"9 elite triathletes (7M/2F), international/national level, mean VO2max 67±7 mL/kg/min",9,,"down (α1 declines from ~1 toward 0.75 at aerobic threshold, then toward <0.5 with further intensity)",-1,Pearson r=0.98 (cycling power at DFA α1=0.75 vs. lactate threshold 1); r=0.77 for heart rate; ICC=0.98 (95% CI 0.91-0.99) for power,0.98,r,"mean-difference agreement tests: HR p=0.52, power p=0.17 (i.e., no significant difference from LT1 — supports agreement)",0.52,=,pfield,True,True
hurst,"DFA α1 vs. gas-exchange/ventilatory thresholds (GET, VT1/VT2)",sports,"Cassirame J, et al. (2025). Detrended fluctuation analysis to determine physiologic thresholds, investigation and evidence from incremental cycling test. Eur J Appl Physiol 125:523-533. PMID:39340669.",,2025,"56 sub-elite cyclists (18 female, 38 male), maximal incremental cycling test with gas exchange",56,56,"disputed / poor agreement (contradicts the strong-agreement direction reported in smaller elite-athlete samples, e.g. Rogers et al. 2022)",0,"not fully extracted; authors report agreement strongly modulated by signal-to-noise ratio, motion artifact, sex, and cardiovascular fitness",,,not extracted,,,,False,False
